chid,chnm,bound_provenance,n_biofam_tested,n_biofam_active,n_biofam_separated,frac_tested_active,frac_tested_separated,family_loss
880156,"1-Iodo-1H,1H,2H,2H-perfluorononane",estimated,16,9,0,0.5625,0.0,9
440585,1-(Perfluorohexyl)octane,default,14,5,5,0.35714285714285715,0.35714285714285715,0
68772,2-(Perfluorobutyl)ethyl acrylate,estimated,17,12,1,0.7058823529411765,0.058823529411764705,11
340244,"1H,1H,7H-Perfluoroheptyl 4-methylbenzenesulfonate",estimated,16,8,4,0.5,0.25,4
379666,N-Methyl-N-trimethylsilylheptafluorobutyramide,default,15,4,4,0.26666666666666666,0.26666666666666666,0
396867,"1H,1H,8H,8H-Perfluorooctane-1,8-diol",estimated,16,7,4,0.4375,0.25,3
63235,(Perfluoroheptyl)methyl methacrylate,default,15,5,5,0.3333333333333333,0.3333333333333333,0
369896,"1H,1H,10H,10H-Perfluorodecane-1,10-diol",estimated,16,13,6,0.8125,0.375,7
537191,Methyl 3H-perfluoroisopropyl ether,default,14,5,5,0.35714285714285715,0.35714285714285715,0
379295,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",estimated,16,14,9,0.875,0.5625,5
377826,"1H,1H-Perfluoropentylamine",default,15,4,4,0.26666666666666666,0.26666666666666666,0
395037,tris(Trifluoroethoxy)methane,default,15,1,1,0.06666666666666667,0.06666666666666667,0
59914,3:1 Fluorotelomer alcohol,default,15,3,3,0.2,0.2,0
170109,"3,3-Bis(trifluoromethyl)-2-propenoic acid",estimated,16,11,6,0.6875,0.375,5
381992,"Bis(1H,1H-perfluoropropyl)amine",default,15,6,6,0.4,0.4,0
379269,3-(Perfluoropropyl)propanol,default,15,2,2,0.13333333333333333,0.13333333333333333,0
59916,Perfluorobutanoic acid,default,16,5,5,0.3125,0.3125,0
558000,6:2 Fluorotelomer phosphate monoester,default,15,10,10,0.6666666666666666,0.6666666666666666,0
880026,Potassium perfluorooctanoate,default,4,1,1,0.25,0.25,0
59969,"1H-Perfluoro-1,1-propanediol",default,16,3,3,0.1875,0.1875,0
379991,3-(Perfluorooctyl)propanol,estimated,16,13,3,0.8125,0.1875,10
